paper_title,value
DP Algorithm for Statistical.,"a procedural definition to restrict1in the approach described in (berger et al., 1996), a mor phological analysis is carried out and word morphemes rather than full-form words are used during the search."
DP Algorithm for Statistical.,"here, we process only full-form words within the translation procedure."
DP Algorithm for Statistical.,the number of permutations carried out for the word reordering is given.
DP Algorithm for Statistical.,"during the search process, a partial hypothesis is extended by choosing a source sentence position, which has not been aligned with a target sentence position yet."
DP Algorithm for Statistical.,"only one of the first n positions which are not already aligned in a partial hypothesis may be chosen, where n is set to 4."
DP Algorithm for Statistical.,the restriction can be expressed in terms of the number of uncovered source sentence positions to the left of the rightmost position m in the coverage set.
DP Algorithm for Statistical.,this number must be less than or equal to n 􀀀 1.
DP Algorithm for Statistical.,"otherwise for the predecessor search hypothesis, we would have chosen a position that would not have been among the first n uncovered positions."
DP Algorithm for Statistical.,"ignoring the identity of the target language words e and e0, the possible partial hypothesis extensions due to the ibm restrictions are shown in table 2."
DP Algorithm for Statistical.,"in general, m; l; l0 6= fl1; l2; l3g and in line umber 3 and 4, l0 must be chosen not to violate the above reordering restriction."
DP Algorithm for Statistical.,note that in line 4 the last visited position for the successor hypothesis must be m
DP Algorithm for Statistical.,"otherwise , there will be four uncovered positions for the predecessor hypothesis violating the restriction."
DP Algorithm for Statistical.,a dynamic programming recursion similar to the one in eq
DP Algorithm for Statistical.,2 is evaluated.
DP Algorithm for Statistical.,"in this case, we have no finite-state restrictions for the search space."
DP Algorithm for Statistical.,"the search starts in hypothesis (f;g; 0) and ends in the hypotheses (f1; ; jg; j), with j 2 f1; ; jg."
DP Algorithm for Statistical.,this approach leads to a search procedure with complexity o(e3 j4).
DP Algorithm for Statistical.,"the proof is given in (tillmann, 2000)."
Experimental Results.,4.1 the task and the corpus.
Experimental Results.,we have tested the translation system on the verbmobil task (wahlster 1993).
Experimental Results.,the verbmobil task is an appointment scheduling task.
Experimental Results.,two subjects are each given a calendar and they are asked to schedule a meeting.
Experimental Results.,the translation direction is from german to english.
Experimental Results.,a summary of the corpus used in the experiments is given in table 3.
Experimental Results.,the perplexity for the trigram language model used is 26:5.
Experimental Results.,"although the ultimate goal of the verbmobil project is the translation of spoken language, the input used for the translation experiments reported on in this paper is the (more or less) correct orthographic transcription of the spoken sentences."
Experimental Results.,"thus, the effects of spontaneous speech are present in the corpus, e.g"
Experimental Results.,"the syntactic structure of the sentence is rather less restricted, however the effect of speech recognition errors is not covered."
Experimental Results.,"for the experiments, we use a simple preprocessing step."
Experimental Results.,german city names are replaced by category markers.
Experimental Results.,the translation search is carried out with the category markers and the city names are resubstituted into the target sentence as a postprocessing step.
Experimental Results.,table 3: training and test conditions for the verbmobil task (*number of words without punctuation marks).
Experimental Results.,german english training: sentences 58 073 words 519 523 549 921 words* 418 979 453 632 vocabulary size 7939 4648 singletons 3454 1699 test-147: sentences 147 words 1 968 2 173 perplexity { 26:5 table 4: multi-reference word error rate (mwer) and subjective sentence error rate (sser) for three different search procedures.
Experimental Results.,search cpu time mwer sser method [sec] [%] [%] mons 0:9 42:0 30:5 qms 10:6 34:4 23:8 ibms 28:6 38:2 26:2 4.2 performance measures.
Experimental Results.,the following two error criteria are used in our experiments: mwer: multi-reference wer: we use the levenshtein distance between the automatic translation and several reference translations as a measure of the translation errors.
Experimental Results.,"on average, 6 reference translations per automatic translation are available."
Experimental Results.,"the levenshtein distance between the automatic translation and each of the reference translations is computed, and the minimum levenshtein distance is taken."
Experimental Results.,this measure has the advantage of being completely automatic.
Experimental Results.,"sser: subjective sentence error rate: for a more detailed analysis, the translations are judged by a human test person."
Experimental Results.,"for the error counts, a range from 0:0 to 1:0 is used."
Experimental Results.,"an error count of 0:0 is assigned to a perfect translation, and an error count of 1:0 is assigned to a semantically and syntactically wrong translation."
Experimental Results.,4.3 translation experiments.
Experimental Results.,"for the translation experiments, eq"
Experimental Results.,2 is recursively evaluated.
Experimental Results.,we apply a beam search concept as in speech recognition.
Experimental Results.,however there is no global pruning.
Experimental Results.,search hypotheses are processed separately according to their coverage set c
Experimental Results.,the best scored hypothesis for each coverage set is computed: qbeam(c) = max e;e0 ;s;j qe0 (e; s; c; j) the hypothesis (e0; e; s; c; j) is pruned if: qe0 (e; s; c; j) < t0 qbeam(c); where t0 is a threshold to control the number of surviving hypotheses.
Experimental Results.,"additionally, for a given coverage set, at most 250 different hypotheses are kept during the search process, and the number of different words to be hypothesized by a source word is limited."
Experimental Results.,"for each source word f, the list of its possible translations e is sorted according to p(fje) puni(e), where puni(e) is the unigram probability of the english word e"
Experimental Results.,it is suæcient to consider only the best 50 words.
Experimental Results.,"we show translation results for three approaches: the monotone search (mons), where no word reordering is allowed (tillmann, 1997), the quasimonotone search (qms) as presented in this paper and the ibm style (ibms) search as described in section 3.2."
Experimental Results.,table 4 shows translation results for the three approaches.
Experimental Results.,the computing time is given in terms of cpu time per sentence (on a 450mhz pentiumiiipc).
Experimental Results.,"here, the pruning threshold t0 = 10:0 is used."
Experimental Results.,translation errors are reported in terms of multireference word error rate (mwer) and subjective sentence error rate (sser).
Experimental Results.,the monotone search performs worst in terms of both error rates mwer and sser.
Experimental Results.,"the computing time is low, since no reordering is carried out."
Experimental Results.,the quasi-monotone search performs best in terms of both error rates mwer and sser.
Experimental Results.,"additionally, it works about 3 times as fast as the ibm style search."
Experimental Results.,"for our demonstration system, we typically use the pruning threshold t0 = 5:0 to speed up the search by a factor 5 while allowing for a small degradation in translation accuracy."
Experimental Results.,the effect of the pruning threshold t0 is shown in table 5.
Experimental Results.,"the computing time, the number of search errors, and the multi-reference wer (mwer) are shown as a function of t0."
Experimental Results.,the negative logarithm of t0 is reported.
Experimental Results.,the translation scores for the hypotheses generated with different threshold values t0 are compared to the translation scores obtained with a conservatively large threshold t0 = 10:0
Experimental Results.,"for each test series, we count the number of sentences whose score is worse than the corresponding score of the test series with the conservatively large threshold t0 = 10:0, and this number is reported as the number of search errors."
Experimental Results.,"depending on the threshold t0, the search algorithm may miss the globally optimal path which typically results in additional translation errors."
Experimental Results.,decreasing the threshold results in higher mwer due to additional search errors.
Experimental Results.,table 5: effect of the beam threshold on the number of search errors (147 sentences).
Experimental Results.,search t0 cpu time #search mwer method [sec] error [%] qms 0.0 0.07 108 42:6 1.0 0.13 85 37:8 2.5 0.35 44 36:6 5.0 1.92 4 34:6 10.0 10.6 0 34:5 ibms 0.0 0.14 108 43:4 1.0 0.3 84 39:5 2.5 0.8 45 39:1 5.0 4.99 7 38:3 10.0 28.52 0 38:2 table 6 shows example translations obtained by the three different approaches.
Experimental Results.,"again, the monotone search performs worst."
Experimental Results.,"in the second and third translation examples, the ibms word reordering performs worse than the qms word reordering, since it can not take properly into account the word reordering due to the german verbgroup."
Experimental Results.,the german finite verbs 'bin' (second example) and 'konnten' (third example) are too far away from the personal pronouns 'ich' and 'sie' (6 respectively 5 source sentence positions).
Experimental Results.,"in the last example, the less restrictive ibms word reordering leads to a better translation, although the qms translation is still acceptable."
Conclusion.,"in this paper, we have presented a new, eæcient dp-based search procedure for statistical machine translation."
Conclusion.,the approach assumes that the word reordering is restricted to a few positions in the source sentence.
Conclusion.,the approach has been successfully tested on the 8 000-word verbmobil task.
Conclusion.,"future extensions of the system might include: 1) an extended translation model, where we use more context to predict a source word."
Conclusion.,"2) an improved language model, which takes into account syntactic structure, e.g"
Conclusion.,to ensure that a proper english verbgroup is generated.
Conclusion.,3) a tight coupling with the speech recognizer output.
Acknowledgements,"this work has been supported as part of the verbmobil project (contract number 01 iv 601 a) by the german federal ministry of education, science, research and technology and as part of the eutrans project (esprit project number 30268) by the european community."
Acknowledgements,table 6: example translations for the verbmobil task.
Acknowledgements,"input: ja , wunderbar"
Acknowledgements,konnen wir machen
Acknowledgements,"mons: yes, wonderful."
Acknowledgements,"qms: yes, wonderful."
Acknowledgements,we can do that
Acknowledgements,"ibms: yes, wonderful."
Acknowledgements,we can do that
Acknowledgements,"input: das ist zu knapp , weil ich ab dem dritten in kaiserslautern bin"
Acknowledgements,genaugenommen nur am dritten
Acknowledgements,"wie ware es denn am ahm samstag , dem zehnten februar ? mons: that is too tight , because i from the third in kaiserslautern"
Acknowledgements,in fact only on the third
Acknowledgements,"how about ahm saturday , the tenth of february ? qms: that is too tight , because i am from the third in kaiserslautern"
Acknowledgements,in fact only on the third
Acknowledgements,"ahm how about saturday , february the tenth ? ibms: that is too tight , from the third because i will be in kaiserslautern"
Acknowledgements,in fact only on the third
Acknowledgements,"ahm how about saturday , february the tenth ? input: wenn sie dann noch den siebzehnten konnten , ware das toll , ja"
Acknowledgements,"mons: if you then also the seventeenth could , would be the great , yes"
Acknowledgements,"qms: if you could then also the seventeenth , that would be great , yes"
Acknowledgements,"ibms: then if you could even take seventeenth , that would be great , yes"
Acknowledgements,"input: ja , das kommt mir sehr gelegen"
Acknowledgements,machen wir es dann am besten so
Acknowledgements,"mons: yes , that suits me perfectly"
Acknowledgements,do we should best like that
Acknowledgements,"qms: yes , that suits me fine"
Acknowledgements,we do it like that then best
Acknowledgements,"ibms: yes , that suits me fine"
Acknowledgements,we should best do it like that .
