paper_title,Word Re-ordering and DP-based Search in Statistical Machine Translation
DP Algorithm for Statistical.,"The final score is obtained from: max e;e0 j2fJ􀀀L;;Jg p($je; e0) Qe0 (e; I; f1; ; Jg; j); where p($je; e0) denotes the trigram language model, which predicts the sentence boundary $ at the end of the target sentence."
DP Algorithm for Statistical.,The complexity of the quasimonotone search is O(E3 J (R2+LR)).
DP Algorithm for Statistical.,"The proof is given in (Tillmann, 2000)."
DP Algorithm for Statistical.,3.2 Reordering with IBM Style.
DP Algorithm for Statistical.,"Restrictions We compare our new approach with the word reordering used in the IBM translation approach (Berger et al., 1996)."
DP Algorithm for Statistical.,A detailed description of the search procedure used is given in this patent.
DP Algorithm for Statistical.,"Source sentence words are aligned with hypothesized target sentence words, where the choice of a new source word, which has not been aligned with a target word yet, is restricted1."
DP Algorithm for Statistical.,"A procedural definition to restrict1In the approach described in (Berger et al., 1996), a mor phological analysis is carried out and word morphemes rather than full-form words are used during the search."
DP Algorithm for Statistical.,"Here, we process only full-form words within the translation procedure."
DP Algorithm for Statistical.,the number of permutations carried out for the word reordering is given.
DP Algorithm for Statistical.,"During the search process, a partial hypothesis is extended by choosing a source sentence position, which has not been aligned with a target sentence position yet."
DP Algorithm for Statistical.,"Only one of the first n positions which are not already aligned in a partial hypothesis may be chosen, where n is set to 4."
DP Algorithm for Statistical.,The restriction can be expressed in terms of the number of uncovered source sentence positions to the left of the rightmost position m in the coverage set.
DP Algorithm for Statistical.,This number must be less than or equal to n 􀀀 1.
DP Algorithm for Statistical.,"Otherwise for the predecessor search hypothesis, we would have chosen a position that would not have been among the first n uncovered positions."
DP Algorithm for Statistical.,"Ignoring the identity of the target language words e and e0, the possible partial hypothesis extensions due to the IBM restrictions are shown in Table 2."
DP Algorithm for Statistical.,"In general, m; l; l0 6= fl1; l2; l3g and in line umber 3 and 4, l0 must be chosen not to violate the above reordering restriction."
DP Algorithm for Statistical.,"Note that in line 4 the last visited position for the successor hypothesis must be m. Otherwise , there will be four uncovered positions for the predecessor hypothesis violating the restriction."
DP Algorithm for Statistical.,A dynamic programming recursion similar to the one in Eq. 2 is evaluated.
DP Algorithm for Statistical.,"In this case, we have no finite-state restrictions for the search space."
DP Algorithm for Statistical.,"The search starts in hypothesis (f;g; 0) and ends in the hypotheses (f1; ; Jg; j), with j 2 f1; ; Jg."
DP Algorithm for Statistical.,This approach leads to a search procedure with complexity O(E3 J4).
DP Algorithm for Statistical.,"The proof is given in (Tillmann, 2000)."
Experimental Results.,4.1 The Task and the Corpus.
Experimental Results.,We have tested the translation system on the Verbmobil task (Wahlster 1993).
Experimental Results.,The Verbmobil task is an appointment scheduling task.
Experimental Results.,Two subjects are each given a calendar and they are asked to schedule a meeting.
Experimental Results.,The translation direction is from German to English.
Experimental Results.,A summary of the corpus used in the experiments is given in Table 3.
Experimental Results.,The perplexity for the trigram language model used is 26:5.
Experimental Results.,"Although the ultimate goal of the Verbmobil project is the translation of spoken language, the input used for the translation experiments reported on in this paper is the (more or less) correct orthographic transcription of the spoken sentences."
Experimental Results.,"Thus, the effects of spontaneous speech are present in the corpus, e.g. the syntactic structure of the sentence is rather less restricted, however the effect of speech recognition errors is not covered."
Experimental Results.,"For the experiments, we use a simple preprocessing step."
Experimental Results.,German city names are replaced by category markers.
Experimental Results.,The translation search is carried out with the category markers and the city names are resubstituted into the target sentence as a postprocessing step.
Experimental Results.,Table 3: Training and test conditions for the Verbmobil task (*number of words without punctuation marks).
Experimental Results.,German English Training: Sentences 58 073 Words 519 523 549 921 Words* 418 979 453 632 Vocabulary Size 7939 4648 Singletons 3454 1699 Test-147: Sentences 147 Words 1 968 2 173 Perplexity { 26:5 Table 4: Multi-reference word error rate (mWER) and subjective sentence error rate (SSER) for three different search procedures.
Experimental Results.,Search CPU time mWER SSER Method [sec] [%] [%] MonS 0:9 42:0 30:5 QmS 10:6 34:4 23:8 IbmS 28:6 38:2 26:2 4.2 Performance Measures.
Experimental Results.,The following two error criteria are used in our experiments: mWER: multi-reference WER: We use the Levenshtein distance between the automatic translation and several reference translations as a measure of the translation errors.
Experimental Results.,"On average, 6 reference translations per automatic translation are available."
Experimental Results.,"The Levenshtein distance between the automatic translation and each of the reference translations is computed, and the minimum Levenshtein distance is taken."
Experimental Results.,This measure has the advantage of being completely automatic.
Experimental Results.,"SSER: subjective sentence error rate: For a more detailed analysis, the translations are judged by a human test person."
Experimental Results.,"For the error counts, a range from 0:0 to 1:0 is used."
Experimental Results.,"An error count of 0:0 is assigned to a perfect translation, and an error count of 1:0 is assigned to a semantically and syntactically wrong translation."
Experimental Results.,4.3 Translation Experiments.
Experimental Results.,"For the translation experiments, Eq. 2 is recursively evaluated."
Experimental Results.,We apply a beam search concept as in speech recognition.
Experimental Results.,However there is no global pruning.
Experimental Results.,Search hypotheses are processed separately according to their coverage set C. The best scored hypothesis for each coverage set is computed: QBeam(C) = max e;e0 ;S;j Qe0 (e; S; C; j) The hypothesis (e0; e; S; C; j) is pruned if: Qe0 (e; S; C; j) < t0 QBeam(C); where t0 is a threshold to control the number of surviving hypotheses.
Experimental Results.,"Additionally, for a given coverage set, at most 250 different hypotheses are kept during the search process, and the number of different words to be hypothesized by a source word is limited."
Experimental Results.,"For each source word f, the list of its possible translations e is sorted according to p(fje) puni(e), where puni(e) is the unigram probability of the English word e. It is suÆcient to consider only the best 50 words."
Experimental Results.,"We show translation results for three approaches: the monotone search (MonS), where no word reordering is allowed (Tillmann, 1997), the quasimonotone search (QmS) as presented in this paper and the IBM style (IbmS) search as described in Section 3.2."
Experimental Results.,Table 4 shows translation results for the three approaches.
Experimental Results.,The computing time is given in terms of CPU time per sentence (on a 450MHz PentiumIIIPC).
Experimental Results.,"Here, the pruning threshold t0 = 10:0 is used."
Experimental Results.,Translation errors are reported in terms of multireference word error rate (mWER) and subjective sentence error rate (SSER).
Experimental Results.,The monotone search performs worst in terms of both error rates mWER and SSER.
Experimental Results.,"The computing time is low, since no reordering is carried out."
Experimental Results.,The quasi-monotone search performs best in terms of both error rates mWER and SSER.
Experimental Results.,"Additionally, it works about 3 times as fast as the IBM style search."
Experimental Results.,"For our demonstration system, we typically use the pruning threshold t0 = 5:0 to speed up the search by a factor 5 while allowing for a small degradation in translation accuracy."
Experimental Results.,The effect of the pruning threshold t0 is shown in Table 5.
Experimental Results.,"The computing time, the number of search errors, and the multi-reference WER (mWER) are shown as a function of t0."
Experimental Results.,The negative logarithm of t0 is reported.
Experimental Results.,"The translation scores for the hypotheses generated with different threshold values t0 are compared to the translation scores obtained with a conservatively large threshold t0 = 10:0 . For each test series, we count the number of sentences whose score is worse than the corresponding score of the test series with the conservatively large threshold t0 = 10:0, and this number is reported as the number of search errors."
Experimental Results.,"Depending on the threshold t0, the search algorithm may miss the globally optimal path which typically results in additional translation errors."
Experimental Results.,Decreasing the threshold results in higher mWER due to additional search errors.
Experimental Results.,Table 5: Effect of the beam threshold on the number of search errors (147 sentences).
Experimental Results.,Search t0 CPU time #search mWER Method [sec] error [%] QmS 0.0 0.07 108 42:6 1.0 0.13 85 37:8 2.5 0.35 44 36:6 5.0 1.92 4 34:6 10.0 10.6 0 34:5 IbmS 0.0 0.14 108 43:4 1.0 0.3 84 39:5 2.5 0.8 45 39:1 5.0 4.99 7 38:3 10.0 28.52 0 38:2 Table 6 shows example translations obtained by the three different approaches.
Experimental Results.,"Again, the monotone search performs worst."
Experimental Results.,"In the second and third translation examples, the IbmS word reordering performs worse than the QmS word reordering, since it can not take properly into account the word reordering due to the German verbgroup."
Experimental Results.,The German finite verbs 'bin' (second example) and 'konnten' (third example) are too far away from the personal pronouns 'ich' and 'Sie' (6 respectively 5 source sentence positions).
Experimental Results.,"In the last example, the less restrictive IbmS word reordering leads to a better translation, although the QmS translation is still acceptable."
Conclusion.,"In this paper, we have presented a new, eÆcient DP-based search procedure for statistical machine translation."
Conclusion.,The approach assumes that the word reordering is restricted to a few positions in the source sentence.
Conclusion.,The approach has been successfully tested on the 8 000-word Verbmobil task.
Conclusion.,"Future extensions of the system might include: 1) An extended translation model, where we use more context to predict a source word."
Conclusion.,"2) An improved language model, which takes into account syntactic structure, e.g. to ensure that a proper English verbgroup is generated."
Conclusion.,3) A tight coupling with the speech recognizer output.
Acknowledgements,"This work has been supported as part of the Verbmobil project (contract number 01 IV 601 A) by the German Federal Ministry of Education, Science, Research and Technology and as part of the Eutrans project (ESPRIT project number 30268) by the European Community."
Acknowledgements,Table 6: Example Translations for the Verbmobil task.
Acknowledgements,"Input: Ja , wunderbar . Konnen wir machen . MonS: Yes, wonderful."
Acknowledgements,"Can we do . QmS: Yes, wonderful."
Acknowledgements,"We can do that . IbmS: Yes, wonderful."
Acknowledgements,"We can do that . Input: Das ist zu knapp , weil ich ab dem dritten in Kaiserslautern bin . Genaugenommen nur am dritten . Wie ware es denn am ahm Samstag , dem zehnten Februar ? MonS: That is too tight , because I from the third in Kaiserslautern . In fact only on the third . How about ahm Saturday , the tenth of February ? QmS: That is too tight , because I am from the third in Kaiserslautern . In fact only on the third . Ahm how about Saturday , February the tenth ? IbmS: That is too tight , from the third because I will be in Kaiserslautern . In fact only on the third . Ahm how about Saturday , February the tenth ? Input: Wenn Sie dann noch den siebzehnten konnten , ware das toll , ja . MonS: If you then also the seventeenth could , would be the great , yes . QmS: If you could then also the seventeenth , that would be great , yes . IbmS: Then if you could even take seventeenth , that would be great , yes . Input: Ja , das kommt mir sehr gelegen . Machen wir es dann am besten so . MonS: Yes , that suits me perfectly . Do we should best like that . QmS: Yes , that suits me fine . We do it like that then best . IbmS: Yes , that suits me fine . We should best do it like that ."
